Numero,Nombre,Tipo 1,Tipo 2,Total,PS,Ataque,Defensa,Ataque Especial,Defensa Especial,Velocidad,Generacion,Legendario
45,Vileplume,Hierba,Veneno,490,75,80,85,110,90,50,1,False
46,Paras,Bicho,Hierba,285,35,70,55,45,55,25,1,False
47,Parasect,Bicho,Hierba,405,60,95,80,60,80,30,1,False
48,Venonat,Bicho,Veneno,305,60,55,50,40,55,45,1,False
49,Venomoth,Bicho,Veneno,450,70,65,60,90,75,90,1,False
50,Diglett,Tierra,,265,10,55,25,35,45,95,1,False
51,Dugtrio,Tierra,,405,35,80,50,50,70,120,1,False
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False
53,Persian,Normal,,440,65,70,60,65,65,115,1,False
54,Psyduck,Agua,,320,50,52,48,65,50,55,1,False
55,Golduck,Agua,,500,80,82,78,95,80,85,1,False
56,Mankey,Lucha,,305,40,80,35,35,45,70,1,False
57,Primeape,Lucha,,455,65,105,60,60,70,95,1,False
58,Growlithe,Fuego,,350,55,70,45,70,50,60,1,False
59,Arcanine,Fuego,,555,90,110,80,100,80,95,1,False
60,Poliwag,Agua,,300,40,50,40,40,40,90,1,False
61,Poliwhirl,Agua,,385,65,65,65,50,50,90,1,False
62,Poliwrath,Agua,Lucha,510,90,95,95,70,90,70,1,False
63,Abra,Psiquico,,310,25,20,15,105,55,90,1,False
64,Kadabra,Psiquico,,400,40,35,30,120,70,105,1,False
65,Alakazam,Psiquico,,500,55,50,45,135,95,120,1,False
66,Machop,Lucha,,305,70,80,50,35,35,35,1,False
67,Machoke,Lucha,,405,80,100,70,50,60,45,1,False
68,Machamp,Lucha,,505,90,130,80,65,85,55,1,False
69,Bellsprout,Hierba,Veneno,300,50,75,35,70,30,40,1,False
70,Weepinbell,Hierba,Veneno,390,65,90,50,85,45,55,1,False
71,Victreebel,Hierba,Veneno,490,80,105,65,100,70,70,1,False
72,Tentacool,Agua,Veneno,335,40,40,35,50,100,70,1,False
73,Tentacruel,Agua,Veneno,515,80,70,65,80,120,100,1,False
74,Geodude,Roca,Tierra,300,40,80,100,30,30,20,1,False
75,Graveler,Roca,Tierra,390,55,95,115,45,45,35,1,False
76,Golem,Roca,Tierra,495,80,120,130,55,65,45,1,False
77,Ponyta,Fuego,,410,50,85,55,65,65,90,1,False
78,Rapidash,Fuego,,500,65,100,70,80,80,105,1,False
79,Slowpoke,Agua,Psiquico,315,90,65,65,40,40,15,1,False
80,Slowbro,Agua,Psiquico,490,95,75,110,100,80,30,1,False
81,Magnemite,Electrico,Acero,325,25,35,70,95,55,45,1,False
82,Magneton,Electrico,Acero,465,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Volador,352,52,65,55,58,62,60,1,False
84,Doduo,Normal,Volador,310,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Volador,460,60,110,70,60,60,100,1,False
86,Seel,Agua,,325,65,45,55,45,70,45,1,False
87,Dewgong,Agua,Hielo,475,90,70,80,70,95,70,1,False
88,Grimer,Veneno,,325,80,80,50,40,50,25,1,False
89,Muk,Veneno,,500,105,105,75,65,100,50,1,False
90,Shellder,Agua,,305,30,65,100,45,25,40,1,False
91,Cloyster,Agua,Hielo,525,50,95,180,85,45,70,1,False
92,Gastly,Fantasma,Veneno,310,30,35,30,100,35,80,1,False
93,Haunter,Fantasma,Veneno,405,45,50,45,115,55,95,1,False
94,Gengar,Fantasma,Veneno,500,60,65,60,130,75,110,1,False
95,Onix,Roca,Tierra,385,35,45,160,30,45,70,1,False
96,Drowzee,Psiquico,,328,60,48,45,43,90,42,1,False
97,Hypno,Psiquico,,483,85,73,70,73,115,67,1,False
98,Krabby,Agua,,325,30,105,90,25,25,50,1,False
99,Kingler,Agua,,475,55,130,115,50,50,75,1,False
100,Voltorb,Electrico,,330,40,30,50,55,55,100,1,False
101,Electrode,Electrico,,480,60,50,70,80,80,140,1,False
102,Exeggcute,Hierba,Psiquico,325,60,40,80,60,45,40,1,False
103,Exeggutor,Hierba,Psiquico,520,95,95,85,125,65,55,1,False
104,Cubone,Tierra,,320,50,50,95,40,50,35,1,False
105,Marowak,Tierra,,425,60,80,110,50,80,45,1,False
106,Hitmonlee,Lucha,,455,50,120,53,35,110,87,1,False
107,Hitmonchan,Lucha,,455,50,105,79,35,110,76,1,False
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
109,Koffing,Veneno,,340,40,65,95,60,45,35,1,False
110,Weezing,Veneno,,490,65,90,120,85,70,60,1,False
111,Rhyhorn,Tierra,Roca,345,80,85,95,30,30,25,1,False
112,Rhydon,Tierra,Roca,485,105,130,120,45,45,40,1,False
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False
114,Tangela,Hierba,,435,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
116,Horsea,Agua,,295,30,40,70,70,25,60,1,False
117,Seadra,Agua,,440,55,65,95,95,45,85,1,False
118,Goldeen,Agua,,320,45,67,60,35,50,63,1,False
119,Seaking,Agua,,450,80,92,65,65,80,68,1,False
120,Staryu,Agua,,340,30,45,55,70,55,85,1,False
121,Starmie,Agua,Psiquico,520,60,75,85,100,85,115,1,False
122,Mr. Mime,Psiquico,Hada,460,40,45,65,100,120,90,1,False
123,Scyther,Bicho,Volador,500,70,110,80,55,80,105,1,False
124,Jynx,Hielo,Psiquico,455,65,50,35,115,95,95,1,False
125,Electabuzz,Electrico,,490,65,83,57,95,85,105,1,False
126,Magmar,Fuego,,495,65,95,57,100,85,93,1,False
127,Pinsir,Bicho,,500,65,125,100,55,70,85,1,False
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
129,Magikarp,Agua,,200,20,10,55,15,20,80,1,False
130,Gyarados,Agua,Volador,540,95,125,79,60,100,81,1,False
131,Lapras,Agua,Hielo,535,130,85,80,85,95,60,1,False
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False
134,Vaporeon,Agua,,525,130,65,60,110,95,65,1,False
135,Jolteon,Electrico,,525,65,65,60,110,95,130,1,False
136,Flareon,Fuego,,525,65,130,60,95,110,65,1,False
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
138,Omanyte,Roca,Agua,355,35,40,100,90,55,35,1,False
139,Omastar,Roca,Agua,495,70,60,125,115,70,55,1,False
140,Kabuto,Roca,Agua,355,30,80,90,55,45,55,1,False
141,Kabutops,Roca,Agua,495,60,115,105,65,70,80,1,False
142,Aerodactyl,Roca,Volador,515,80,105,65,60,75,130,1,False
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False
144,Articuno,Hielo,Volador,580,90,85,100,95,125,85,1,True
145,Zapdos,Electrico,Volador,580,90,90,85,125,90,100,1,True
146,Moltres,Fuego,Volador,580,90,100,90,125,85,90,1,True
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Volador,600,91,134,95,100,100,80,1,False
150,Mewtwo,Psiquico,,680,106,110,90,154,90,130,1,True
151,Mew,Psiquico,,600,100,100,100,100,100,100,1,False
